id,indiff,outdiff,pro,weight
0,0x0000000090090000,0x0000040000000400,8,2
1,0x00000000900f0000,0x0000040000000400,8,2
2,0x00000000f0090000,0x0000040000000400,8,2
3,0x00000000f00f0000,0x0000040000000400,8,2
4,0x0000900900000000,0x0000040000000400,8,2
5,0x0000900f00000000,0x0000040000000400,8,2
6,0x0000f00900000000,0x0000040000000400,8,2
7,0x0000f00f00000000,0x0000040000000400,8,2
8,0x0000000000009009,0x0400000000000400,8,2
9,0x000000000000f009,0x0400000000000400,8,2
10,0x000000000000900f,0x0400000000000400,8,2
11,0x000000000000f00f,0x0400000000000400,8,2
12,0x0000000000009009,0x0000000004000400,8,2
13,0x000000000000f009,0x0000000004000400,8,2
14,0x000000000000900f,0x0000000004000400,8,2
15,0x000000000000f00f,0x0000000004000400,8,2
16,0x0000000000007007,0x0100000000000100,8,2
17,0x000000000000f007,0x0100000000000100,8,2
18,0x0000000000007007,0x0000000001000100,8,2
19,0x000000000000f007,0x0000000001000100,8,2
20,0x000000000000700f,0x0100000000000100,8,2
21,0x000000000000f00f,0x0100000000000100,8,2
22,0x000000000000700f,0x0000000001000100,8,2
23,0x000000000000f00f,0x0000000001000100,8,2
24,0x0000700700000000,0x0000010000000100,8,2
25,0x0000700f00000000,0x0000010000000100,8,2
26,0x0000f00700000000,0x0000010000000100,8,2
27,0x0000f00f00000000,0x0000010000000100,8,2
28,0x0000d00d00000000,0x0000020000000200,8,2
29,0x00000000d00d0000,0x0000020000000200,8,2
30,0x000000000000d00d,0x0200000000000200,8,2
31,0x000000000000d00d,0x0000000002000200,8,2
32,0x0000000070070000,0x0000010000000100,8,2
33,0x00000000f0070000,0x0000010000000100,8,2
34,0x00000000700f0000,0x0000010000000100,8,2
35,0x00000000f00f0000,0x0000010000000100,8,2
36,0x0000b00b00000000,0x0000080000000800,8,2
37,0x000000000000b00b,0x0800000000000800,8,2
38,0x000000000000b00b,0x0000000008000800,8,2
39,0x00000000b00b0000,0x0000080000000800,8,2
40,0x0000000000009009,0x0400040000000400,8,3
41,0x000000000000f009,0x0400040000000400,8,3
42,0x000000000000900f,0x0400040000000400,8,3
43,0x000000000000f00f,0x0400040000000400,8,3
44,0x0000000000009009,0x0000040004000400,8,3
45,0x000000000000f009,0x0000040004000400,8,3
46,0x000000000000900f,0x0000040004000400,8,3
47,0x000000000000f00f,0x0000040004000400,8,3
