id,indiff,outdiff,pro,weight
0,0x02000888,0x00200008,12,2
1,0x10004440,0x01000040,12,2
2,0x02000C88,0x00200008,12,2
3,0x08003220,0x00800020,12,2
4,0x00400111,0x00040001,12,2
5,0x08002220,0x00800020,12,2
6,0x00104044,0x00014000,12,2
7,0x00082022,0x80002000,12,2
8,0x00800222,0x00080002,12,2
9,0x00400191,0x00040001,12,2
10,0x00041419,0x40001000,12,2
11,0x40001101,0x04000100,12,2
12,0x04001110,0x00400010,12,2
13,0x200088A0,0x02000080,12,2
14,0x20008880,0x02000080,12,2
15,0x00014404,0x10000400,12,2
16,0x10006440,0x01000040,12,2
17,0x0020A088,0x00028000,12,2
18,0x00082032,0x80002000,12,2
19,0x00404111,0x00040001,12,2
20,0x2000C8A0,0x02000080,12,2
21,0x00082822,0x80002000,12,2
22,0x00104064,0x00014000,12,2
23,0x00028808,0x20000800,12,2
24,0x08002228,0x00800020,12,2
25,0x01000444,0x00100004,12,2
26,0x08003228,0x00800020,12,2
27,0x01000445,0x00100004,12,2
28,0x00404191,0x00040001,12,2
29,0x00208088,0x00028000,12,2
30,0x0200088A,0x00200008,12,2
31,0x80002283,0x08000200,12,2
32,0x10004450,0x01000040,12,2
33,0x00014406,0x10000400,12,2
34,0x0002880C,0x20000800,12,2
35,0x00041011,0x40001000,12,2
36,0x00028A08,0x20000800,12,2
37,0x00041019,0x40001000,12,2
38,0x40009101,0x04000100,12,2
39,0x80002202,0x08000200,12,2
40,0x00800322,0x00080002,12,2
41,0x04001114,0x00400010,12,2
42,0x10006450,0x01000040,12,2
43,0x80002282,0x08000200,12,2
44,0x0020A0C8,0x00028000,12,2
45,0x00105064,0x00014000,12,2
46,0x01000645,0x00100004,12,2
47,0x80002203,0x08000200,12,2
48,0x04001914,0x00400010,12,2
49,0x40001141,0x04000100,12,2
50,0x2000C880,0x02000080,12,2
51,0x00041411,0x40001000,12,2
52,0x40009141,0x04000100,12,2
53,0x01000644,0x00100004,12,2
54,0x00105044,0x00014000,12,2
55,0x04001910,0x00400010,12,2
56,0x02000C8A,0x00200008,12,2
57,0x00808222,0x00080002,12,2
58,0x00082832,0x80002000,12,2
59,0x00028A0C,0x20000800,12,2
60,0x002080C8,0x00028000,12,2
61,0x00014504,0x10000400,12,2
62,0x00014506,0x10000400,12,2
63,0x00808322,0x00080002,12,2
