id,round,indiff,outdiff,pro,weight
0,5r,0x02110a04,0x8000840a,9,5
1,5r,0x28000010,0x850a9520,9,10
2,5r,0x06110a04,0x8000840a,10,5
3,5r,0x02310a04,0x8000840a,10,5
4,5r,0x02710a04,0x8000840a,10,5
5,5r,0x02130a04,0x8000840a,10,5
6,5r,0x02190a04,0x8000840a,10,5
7,5r,0x02090a04,0x8000840a,10,5
8,5r,0x021f0a04,0x8000840a,10,5
9,5r,0x020f0a04,0x8000840a,10,5
10,5r,0x08810205,0x00400542,10,5
11,5r,0x20540800,0x10281088,10,6
12,5r,0xa8400010,0x50201021,10,6
13,5r,0x42050080,0x81028108,10,6
14,5r,0x0a040804,0x840a8028,10,7
15,5r,0x02110a04,0x8200860a,10,7
16,5r,0x02110a04,0x8004840e,10,7
17,5r,0xa8400010,0xd0209021,10,8
18,5r,0x00140800,0x8542904a,10,10
19,5r,0x38000010,0x850a9520,10,10
20,5r,0x18000010,0x850a9520,10,10
21,5r,0x68000010,0x850a9520,10,10
22,5r,0x28000010,0x830a9320,10,10
23,5r,0x28000010,0x870a9720,10,12
24,5r,0x28000010,0x851a9530,10,12
25,5r,0x28000010,0x850e9524,10,12
26,5r,0x28000010,0x8506952c,10,12
27,5r,0x28000010,0x8d0a9d20,10,12
28,5r,0x02790a04,0x8000840a,11,5
29,5r,0x02390a04,0x8000840a,11,5
30,5r,0x02290a04,0x8000840a,11,5
31,5r,0x02690a04,0x8000840a,11,5
32,5r,0x021b0a04,0x8000840a,11,5
33,5r,0x023f0a04,0x8000840a,11,5
34,5r,0x02330a04,0x8000840a,11,5
35,5r,0x022f0a04,0x8000840a,11,5
36,5r,0x020b0a04,0x8000840a,11,5
37,5r,0x02730a04,0x8000840a,11,5
38,5r,0x027f0a04,0x8000840a,11,5
39,5r,0x026f0a04,0x8000840a,11,5
40,5r,0x06190a04,0x8000840a,11,5
41,5r,0x06090a04,0x8000840a,11,5
42,5r,0x061f0a04,0x8000840a,11,5
43,5r,0x060f0a04,0x8000840a,11,5
44,5r,0x06310a04,0x8000840a,11,5
45,5r,0x06130a04,0x8000840a,11,5
46,5r,0x06710a04,0x8000840a,11,5
47,5r,0x0e110a04,0x8000840a,11,5
48,5r,0x02150e04,0x8000840a,11,5
49,5r,0x02170e04,0x8000840a,11,5
50,5r,0x02050e04,0x8000840a,11,5
51,5r,0x02070e04,0x8000840a,11,5
52,5r,0x02090604,0x8000840a,11,5
53,5r,0x020d0604,0x8000840a,11,5
54,5r,0x020b0604,0x8000840a,11,5
55,5r,0x020f0604,0x8000840a,11,5
56,5r,0x02010604,0x8000840a,11,5
57,5r,0x02030604,0x8000840a,11,5
58,5r,0x02050604,0x8000840a,11,5
59,5r,0x02070604,0x8000840a,11,5
60,5r,0x09810205,0x00400542,11,5
61,5r,0x08830205,0x00400542,11,5
62,5r,0x18810205,0x00400542,11,5
63,5r,0x0c810205,0x00400542,11,5
64,5r,0x04810205,0x00400542,11,5
65,5r,0x0f810205,0x00400542,11,5
66,5r,0x07810205,0x00400542,11,5
67,5r,0x40840281,0x2000a102,11,5
68,5r,0x08442810,0x0002102a,11,5
69,5r,0x2110a040,0x000840a8,11,5
